Year,Term,YearTerm,Subject,Number,Name,Description,Credit Hours,Section Info,Degree Attributes,Schedule Information,CRN,Section,Status Code,Part of Term,Section Title,Section Credit Hours,Section Status,Enrollment Status,Type,Type Code,Start Time,End Time,Days of Week,Room,Building,Instructors
2024,Fall,2024-fa,AAS,281,Constructing Race in America,"Same as AFRO 281, HIST 281, and LLS 281. See HIST 281.",3 hours.,"Same as AFRO 281, HIST 281, and LLS 281. See HIST 281.","Humanities - Hist & Phil, and Cultural Studies - US Minority course.",,75272,AD5,A,1,,,A,Closed,Discussion/Recitation,DIS,01:00 PM,01:50 PM,W,219,David Kinley Hall,"Pederson, L;Ramirez, Y"
2024,Fall,2024-fa,AAS,281,Constructing Race in America,"Same as AFRO 281, HIST 281, and LLS 281. See HIST 281.",3 hours.,"Same as AFRO 281, HIST 281, and LLS 281. See HIST 281.","Humanities - Hist & Phil, and Cultural Studies - US Minority course.",,75275,AD6,A,1,,,A,Closed,Discussion/Recitation,DIS,02:00 PM,02:50 PM,W,325,David Kinley Hall,"Pederson, L;Ramirez, Y"
2024,Fall,2024-fa,AAS,281,Constructing Race in America,"Same as AFRO 281, HIST 281, and LLS 281. See HIST 281.",3 hours.,"Same as AFRO 281, HIST 281, and LLS 281. See HIST 281.","Humanities - Hist & Phil, and Cultural Studies - US Minority course.",,70106,AL1,A,1,,,A,CrossListOpen,Lecture-Discussion,LCD,11:00 AM,11:50 AM,MW,134,Temple Hoyne Buell Hall,"Ramirez, Y"
2024,Fall,2024-fa,AAS,286,Asian American Literature,Same as ENGL 286. See ENGL 286.,3 hours.,Same as ENGL 286. See ENGL 286.,"Humanities - Lit & Arts, and Cultural Studies - US Minority course.",,41932,F,A,1,,,A,Closed,Lecture-Discussion,LCD,02:00 PM,02:50 PM,MWF,137,Henry Administration Bldg,"Villanueva, C"
2024,Fall,2024-fa,AAS,290,Individual Study,Supervised reading and research in Asian American Studies chosen by the student with instructor approval. May be repeated to a maximum of 6 hours. Prerequisite: AAS 100.,2 TO 3 hours.,May be repeated to a maximum of 6 hours. Prerequisite: AAS 100.,,,10027,,A,1,,3 hours,A,Open (Restricted),Independent Study,IND,ARRANGED,,,,,"Chih, D"
2024,Fall,2024-fa,AAS,297,Asian Families in America,Same as HDFS 221 and SOCW 297. See SOCW 297.,3 hours.,Same as HDFS 221 and SOCW 297. See SOCW 297.,"Social & Beh Sci - Soc Sci, and Cultural Studies - US Minority course.",,64421,A,A,1,,,A,Closed,Lecture-Discussion,LCD,09:30 AM,10:45 AM,TR,302,Architecture Building,"Chih, D"
2024,Fall,2024-fa,AAS,297,Asian Families in America,Same as HDFS 221 and SOCW 297. See SOCW 297.,3 hours.,Same as HDFS 221 and SOCW 297. See SOCW 297.,"Social & Beh Sci - Soc Sci, and Cultural Studies - US Minority course.",,77102,B,A,1,,,A,Closed,Lecture-Discussion,LCD,05:00 PM,06:15 PM,MW,242,Bevier Hall,"Balgopal, A"
2024,Fall,2024-fa,AAS,300,"Theories of Race, Gender, and Sexuality","Explores theories for performing interdisciplinary, intersectional and comparative studies within the field of Asian American studies. Follows multiple genealogies of critical work in ethnic and American studies. Same as GWS 305 and LLS 305.",3 hours.,Same as GWS 305 and LLS 305.,Advanced Composition course.,,66652,A,A,1,,3 hours,A,CrossListOpen,Lecture-Discussion,LCD,01:00 PM,02:20 PM,TR,1020,Lincoln Hall,"Siglos, D"
2024,Fall,2024-fa,AAS,310,Race and Cultural Diversity,"Same as AFRO 310, EPOL 310, and LLS 310. See EPOL 310.",4 hours.,"Same as AFRO 310, EPOL 310, and LLS 310. See EPOL 310.","Advanced Composition, and Cultural Studies - US Minority course.",,65000,D1,A,1,,,A,Closed,Discussion/Recitation,DIS,02:00 PM,03:50 PM,R,389,Education Building,"Moton, T;Velasco, K"
2024,Fall,2024-fa,AAS,310,Race and Cultural Diversity,"Same as AFRO 310, EPOL 310, and LLS 310. See EPOL 310.",4 hours.,"Same as AFRO 310, EPOL 310, and LLS 310. See EPOL 310.","Advanced Composition, and Cultural Studies - US Minority course.",,33764,D2,A,1,,,A,Closed,Discussion/Recitation,DIS,02:00 PM,03:50 PM,R,385,Education Building,"Galloway, M;Moton, T"
2024,Fall,2024-fa,AAS,310,Race and Cultural Diversity,"Same as AFRO 310, EPOL 310, and LLS 310. See EPOL 310.",4 hours.,"Same as AFRO 310, EPOL 310, and LLS 310. See EPOL 310.","Advanced Composition, and Cultural Studies - US Minority course.",,77817,D3,A,1,,,A,CrossListOpen,Discussion/Recitation,DIS,02:00 PM,03:50 PM,R,323,Education Building,"Getowicz, C;Moton, T"
2024,Fall,2024-fa,AAS,310,Race and Cultural Diversity,"Same as AFRO 310, EPOL 310, and LLS 310. See EPOL 310.",4 hours.,"Same as AFRO 310, EPOL 310, and LLS 310. See EPOL 310.","Advanced Composition, and Cultural Studies - US Minority course.",,79695,D4,A,1,,,A,Closed,Discussion/Recitation,DIS,02:00 PM,03:50 PM,R,320,Mumford Hall,"Moton, T;Ruiz-Divas, V"
2024,Fall,2024-fa,AAS,310,Race and Cultural Diversity,"Same as AFRO 310, EPOL 310, and LLS 310. See EPOL 310.",4 hours.,"Same as AFRO 310, EPOL 310, and LLS 310. See EPOL 310.","Advanced Composition, and Cultural Studies - US Minority course.",,79699,D5,A,1,,,A,Closed,Discussion/Recitation,DIS,02:00 PM,03:50 PM,R,137,Armory,"Haggins, G;Moton, T"
2024,Fall,2024-fa,AAS,310,Race and Cultural Diversity,"Same as AFRO 310, EPOL 310, and LLS 310. See EPOL 310.",4 hours.,"Same as AFRO 310, EPOL 310, and LLS 310. See EPOL 310.","Advanced Composition, and Cultural Studies - US Minority course.",,33770,L,A,1,,,A,CrossListOpen,Lecture,LEC,02:00 PM,03:50 PM,T,2,Education Building,"Moton, T"
2024,Fall,2024-fa,AAS,395,Adv Asian Am Undergrad Reading,Supervised reading and research in upper level Asian American Studies topics chosen by the student with instructor approval. May be repeated to a maximum of 6 hours. Prerequisite: AAS 100.,2 OR 3 hours.,May be repeated to a maximum of 6 hours. Prerequisite: AAS 100.,,,71134,,A,1,,,A,Closed,Independent Study,IND,ARRANGED,,,,,
2024,Fall,2024-fa,AAS,479,"Race, Medicine, and Society",Same as ANTH 479 and LLS 479. See LLS 479.,3 OR 4 hours.,Same as ANTH 479 and LLS 479. See LLS 479.,,,55874,G,A,1,,4 hours,A,CrossListOpen (Restricted),Lecture-Discussion,LCD,12:30 PM,02:50 PM,W,103,1207 W Oregon,"Lira, N"
2024,Fall,2024-fa,AAS,479,"Race, Medicine, and Society",Same as ANTH 479 and LLS 479. See LLS 479.,3 OR 4 hours.,Same as ANTH 479 and LLS 479. See LLS 479.,,,55873,U,A,1,,3 hours,A,CrossListOpen (Restricted),Lecture-Discussion,LCD,12:30 PM,02:50 PM,W,103,1207 W Oregon,"Lira, N"
2024,Fall,2024-fa,AAS,501,Theory and Methods in AAS,"Foundational gateway course for graduate study in Asian American Studies, examining the political, historical, epistemological, and cultural bases of the field through an intensive reading of canonical works and study of core concepts in the field. Also highlights the problems of interdisciplinary research and scholarship and adopts an intersectional and coalitional approach to Asian American Studies as it assumes the necessary linkages between other areas in ethic/racial and gender/sexuality studies.",4 hours.,,,,54236,A,A,1,,,A,Open,Lecture-Discussion,LCD,02:00 PM,04:50 PM,M,,,"Bui, K"
2024,Fall,2024-fa,ABE,127,Introduction to Agricultural &amp; Biological Engineering,"Introduction to the engineering profession with career opportunities in the agricultural and biological engineering disciplines. Interactive class activities include concepts necessary for becoming a successful engineer including time management, design concepts, ethics, and team building. Students become familiar with laboratories, computer facilities, and other opportunities that are available to agricultural and biological engineering students. Class emphasis is on problem-solving skills, information synthesis, and technical communication. May not receive credit for both ABE 100 and ABE 127.",2 hours.,May not receive credit for both ABE 100 and ABE 127.,,,78644,RBH,A,1,,,A,Open,Laboratory-Discussion,LBD,01:00 PM,02:50 PM,R,208,Agricultural Engr Sciences Bld,"Bhattarai, R"
2024,Fall,2024-fa,ABE,127,Introduction to Agricultural &amp; Biological Engineering,"Introduction to the engineering profession with career opportunities in the agricultural and biological engineering disciplines. Interactive class activities include concepts necessary for becoming a successful engineer including time management, design concepts, ethics, and team building. Students become familiar with laboratories, computer facilities, and other opportunities that are available to agricultural and biological engineering students. Class emphasis is on problem-solving skills, information synthesis, and technical communication. May not receive credit for both ABE 100 and ABE 127.",2 hours.,May not receive credit for both ABE 100 and ABE 127.,,,78644,RBH,A,1,,,A,Open,Lecture,LEC,02:00 PM,02:50 PM,T,208,Agricultural Engr Sciences Bld,"Bhattarai, R"
2024,Fall,2024-fa,ABE,199,Undergraduate Open Seminar,May be repeated to a maximum of 12 hours.,1 TO 5 hours.,May be repeated to a maximum of 12 hours.,,,10141,,A,1,,,A,Open (Restricted),Independent Study,IND,ARRANGED,,,,,
2024,Fall,2024-fa,ABE,199,Undergraduate Open Seminar,May be repeated to a maximum of 12 hours.,1 TO 5 hours.,May be repeated to a maximum of 12 hours.,,,70613,AB,A,1,ABE@Illinois Ambassador Train,1 hours,A,Open (Restricted),Lecture-Discussion,LCD,ARRANGED,,,217,Agricultural Engr Sciences Bld,"Boone, A"
2024,Fall,2024-fa,ABE,199,Undergraduate Open Seminar,May be repeated to a maximum of 12 hours.,1 TO 5 hours.,May be repeated to a maximum of 12 hours.,,,55376,CHP,A,A,Water in the Global Environ,3 hours,A,Closed,Online,ONL,01:00 PM,02:50 PM,MW,,,"Bhattarai, R;Davidson, P;Kalita, P"
